Emitter,ZPL_wavelength_nm,ZPL_intensity_counts,SB_wavelength_nm,SB_intensity_counts,Relative_intensity_ZPL_over_SB
Emitter 1,625.8659944661723,4187.521052631579,684.9691266531372,2052.521052631579,2.0401842150474767
Emitter 2,619.5696005677008,5103.0,677.8013186747215,3914.0,1.3037812979049566
Emitter 3,620.6190139359987,10604.247368421053,678.6754672746165,5673.247368421053,1.869167106558297
Emitter 4,630.063470458401,4019.857894736842,689.5143106151003,1158.857894736842,3.4688100352888283
Emitter 6,632.1621705289301,4271.0,691.6120187586657,999.0,4.275275275275275
Emitter 7,635.4850585739952,868.2105263157894,696.1568994604173,315.21052631578937,2.7543830355652035
Emitter 8,622.5429237218694,11862.963157894737,681.1230457776176,2517.9631578947365,4.711333095045495
Emitter 9,625.5162003585159,5598.178947368421,684.9691266531372,1809.1789473684212,3.09432019177062
Emitter 10,628.4894286358974,12218.352631578948,688.290627227852,5307.352631578948,2.3021557977661575
Emitter 12,619.5696005677008,7045.468421052631,677.6264881146581,2190.468421052631,3.216420904925407
Emitter 13,629.8885776258925,9404.88947368421,690.0387417896571,3520.8894736842103,2.6711686191736836
Emitter 14,630.2383631138283,12812.484210526316,690.0387417896571,3359.484210526316,3.8138248039329343
Emitter 15,622.018222963527,66251.63684210526,680.5985693646496,23064.63684210526,2.8724335568622825
Emitter 16,623.7672198402339,9965.826315789473,682.8712817974955,6073.8263157894735,1.6407822347310763
Emitter 17,625.3413030535008,9718.82105263158,684.7943078616348,2707.821052631579,3.589166663427188
Emitter 20,622.7178236532294,13701.373684210526,681.4726952869102,6349.373684210526,2.157909482990863
Emitter 21,620.444112097855,2500.4315789473685,679.3747810914948,662.4315789473685,3.7746261778773573
Emitter 24,621.3186197164536,18639.447368421053,684.0950297538905,6994.447368421053,2.664892076045284
Emitter 26,627.6149548594997,23370.83157894737,687.416558596201,6773.831578947369,3.450164254390736
Emitter 27,626.3906843660984,10928.415789473685,685.668398866145,4629.4157894736845,2.360646847561759
Emitter 28,623.9421186343766,11827.71052631579,682.8712817974955,7938.710526315789,1.4898780459507213
